ch1+fi.txt ch1+re+bi.txt ch1+re+fi.txt ch1+re.txt ch1.txt ch2+re.txt ch2.txt ch3+re.txt ch3.txt ch4+bi.txt ch4+fi.txt ch4+re+bi.txt ch4+re+fi.txt ch4+re.txt ch4.txt ch1+bi.txt
ch1+bi.txt 0.779617512120501 0.474730189604512 0.239144057969804 5.11976299812505e-16 3.80877971137892e-16 0.507123352080612 1.69633860812174e-38 6.705477324997e-05 4.26235280659533e-38 2.68756809237854e-11 3.31052624335587e-11 8.09336654392357e-12 3.19720293340327e-11 3.13540785697587e-08 0.0356257707552519 NA
ch1+fi.txt NA 0.590509475982747 0.476135744756113 4.99421317326781e-16 3.73692517580101e-16 0.78111072372878 1.30452822173222e-40 0.000154268320227487 2.04620515135261e-39 1.18197979614607e-08 1.31293666148224e-08 4.44851773267852e-09 1.27899105683419e-08 2.16239759465563e-06 0.0513634511740375 0.779617512120501
ch1+re+bi.txt 0.590509475982747 NA 0.76500201742894 5.11680102561544e-16 3.81071761880344e-16 0.763934786917165 3.40570657368927e-40 6.46142382333859e-05 2.07536033703336e-39 1.23295066559967e-07 1.39909305869432e-07 3.64926186636833e-08 1.35834078693635e-07 1.03977265491676e-05 0.0132686551135792 0.474730189604512
ch1+re+fi.txt 0.476135744756113 0.76500201742894 NA 5.11791933714965e-16 3.80082640450839e-16 0.484645349656531 2.81105926055626e-41 1.27736663885213e-05 3.34409251764081e-40 1.60658290612558e-08 1.82774026166165e-08 4.69740237801867e-09 1.77294136349345e-08 6.53459545585622e-06 0.00520253860190846 0.239144057969804
ch1+re.txt 4.99421317326781e-16 5.11680102561544e-16 5.11791933714965e-16 NA 6.81844773695102e-15 5.05767642631264e-16 8.5031716354326e-16 5.54878106541449e-16 9.40741638494489e-16 4.87566617854588e-16 4.87840402731096e-16 4.85341089871354e-16 4.87748167307621e-16 4.96305917241147e-16 5.56663028090327e-16 5.11976299812505e-16
ch1.txt 3.73692517580101e-16 3.81071761880344e-16 3.80082640450839e-16 6.81844773695102e-15 NA 3.76866544079942e-16 5.56971620326798e-16 4.04379363925508e-16 6.0117555952356e-16 3.66597339282339e-16 3.66753194211562e-16 3.65285772617736e-16 3.66701170151976e-16 3.71636678955342e-16 4.05719332741992e-16 3.80877971137892e-16
ch2+re.txt 0.78111072372878 0.763934786917165 0.484645349656531 5.05767642631264e-16 3.76866544079942e-16 NA 3.15528182565605e-40 1.63455695159432e-06 1.08945502637481e-39 9.12690690241994e-11 1.03757157241604e-10 2.76281112139621e-11 1.00877354782312e-10 1.53841196024046e-07 0.0217532271684742 0.507123352080612
ch2.txt 1.30452822173222e-40 3.40570657368927e-40 2.81105926055626e-41 8.5031716354326e-16 5.56971620326798e-16 3.15528182565605e-40 NA 2.0662317113881e-35 0.00119302077913287 1.39372156751232e-42 1.56612137119647e-42 2.09763359272852e-42 1.57711458309849e-42 9.85554918620414e-42 1.09912814924773e-36 1.69633860812174e-38
ch3+re.txt 0.000154268320227487 6.46142382333859e-05 1.27736663885213e-05 5.54878106541449e-16 4.04379363925508e-16 1.63455695159432e-06 2.0662317113881e-35 NA 1.07686211620383e-39 4.49621974923537e-18 4.58611235907358e-18 1.60587345377154e-18 4.38425374579335e-18 1.09087375865853e-15 0.0855576057683169 6.705477324997e-05
ch3.txt 2.04620515135261e-39 2.07536033703336e-39 3.34409251764081e-40 9.40741638494489e-16 6.0117555952356e-16 1.08945502637481e-39 0.00119302077913287 1.07686211620383e-39 NA 1.34467731586756e-42 1.39547774448568e-42 1.65643717319939e-42 1.42514294208406e-42 4.54532107717848e-42 5.28771180371406e-38 4.26235280659533e-38
ch4+bi.txt 1.18197979614607e-08 1.23295066559967e-07 1.60658290612558e-08 4.87566617854588e-16 3.66597339282339e-16 9.12690690241994e-11 1.39372156751232e-42 4.49621974923537e-18 1.34467731586756e-42 NA 0.162495102548852 0.0239775046203906 0.501806865908875 9.52054819840527e-07 3.21500277596938e-21 2.68756809237854e-11
ch4+fi.txt 1.31293666148224e-08 1.39909305869432e-07 1.82774026166165e-08 4.87840402731096e-16 3.66753194211562e-16 1.03757157241604e-10 1.56612137119647e-42 4.58611235907358e-18 1.39547774448568e-42 0.162495102548852 NA 0.0150790405023725 0.32126093973606 1.10856307580825e-06 3.58999401417251e-21 3.31052624335587e-11
ch4+re+bi.txt 4.44851773267852e-09 3.64926186636833e-08 4.69740237801867e-09 4.85341089871354e-16 3.65285772617736e-16 2.76281112139621e-11 2.09763359272852e-42 1.60587345377154e-18 1.65643717319939e-42 0.0239775046203906 0.0150790405023725 NA 0.0127916288198494 5.60321872581056e-08 2.0098723281653e-21 8.09336654392357e-12
ch4+re+fi.txt 1.27899105683419e-08 1.35834078693635e-07 1.77294136349345e-08 4.87748167307621e-16 3.66701170151976e-16 1.00877354782312e-10 1.57711458309849e-42 4.38425374579335e-18 1.42514294208406e-42 0.501806865908875 0.32126093973606 0.0127916288198494 NA 9.55888335482128e-07 3.45124450595389e-21 3.19720293340327e-11
ch4+re.txt 2.16239759465563e-06 1.03977265491676e-05 6.53459545585622e-06 4.96305917241147e-16 3.71636678955342e-16 1.53841196024046e-07 9.85554918620414e-42 1.09087375865853e-15 4.54532107717848e-42 9.52054819840527e-07 1.10856307580825e-06 5.60321872581056e-08 9.55888335482128e-07 NA 6.37083968196792e-20 3.13540785697587e-08
ch4.txt 0.0513634511740375 0.0132686551135792 0.00520253860190846 5.56663028090327e-16 4.05719332741992e-16 0.0217532271684742 1.09912814924773e-36 0.0855576057683169 5.28771180371406e-38 3.21500277596938e-21 3.58999401417251e-21 2.0098723281653e-21 3.45124450595389e-21 6.37083968196792e-20 NA 0.0356257707552519
