ch1+fi.txt ch1+re+bi.txt ch1+re+fi.txt ch1+re.txt ch1.txt ch2+re.txt ch2.txt ch3+re.txt ch3.txt ch4+bi.txt ch4+fi.txt ch4+re+bi.txt ch4+re+fi.txt ch4+re.txt ch4.txt ch1+bi.txt
ch1+bi.txt 0.779617512120501 0.300578867710137 0.667185469076131 5.11976299812505e-16 3.80877971137892e-16 0.507123352080612 1.69633860812174e-38 6.705477324997e-05 4.26235280659533e-38 2.68756809237854e-11 3.31052624335587e-11 4.37006674944335e-11 6.54097310810398e-11 3.13540785697587e-08 0.0356257707552519 NA
ch1+fi.txt NA 0.45112607677329 0.90984087451815 4.99421317326781e-16 3.73692517580101e-16 0.78111072372878 1.30452822173222e-40 0.000154268320227487 2.04620515135261e-39 1.18197979614607e-08 1.31293666148224e-08 8.44848740002468e-09 1.24940052325177e-08 2.16239759465563e-06 0.0513634511740375 0.779617512120501
ch1+re+bi.txt 0.45112607677329 NA 0.519106464908926 5.11771541607755e-16 3.811693913301e-16 0.635278078188703 2.08710201395509e-38 8.06439599575555e-05 7.7448010162005e-38 5.4751255581221e-08 6.28782252157595e-08 4.48782687699818e-08 6.99136834041691e-08 6.2142305204384e-06 0.00545263328305112 0.300578867710137
ch1+re+fi.txt 0.90984087451815 0.519106464908926 NA 5.04635824267287e-16 3.76449299113022e-16 0.871918968106458 1.78058214803762e-39 8.17273877130372e-05 2.13311926327788e-38 3.77602116550532e-12 4.56087473682957e-12 1.76595052444618e-12 2.91075258546678e-12 8.40526480833457e-09 0.0146448186848537 0.667185469076131
ch1+re.txt 4.99421317326781e-16 5.11771541607755e-16 5.04635824267287e-16 NA 6.81844773695102e-15 5.05767642631264e-16 8.5031716354326e-16 5.54878106541449e-16 9.40741638494489e-16 4.87566617854588e-16 4.87840402731096e-16 4.86128223699253e-16 4.87497850519307e-16 4.96305917241147e-16 5.56663028090327e-16 5.11976299812505e-16
ch1.txt 3.73692517580101e-16 3.811693913301e-16 3.76449299113022e-16 6.81844773695102e-15 NA 3.76866544079942e-16 5.56971620326798e-16 4.04379363925508e-16 6.0117555952356e-16 3.66597339282339e-16 3.66753194211562e-16 3.6575521332795e-16 3.66535455334822e-16 3.71636678955342e-16 4.05719332741992e-16 3.80877971137892e-16
ch2+re.txt 0.78111072372878 0.635278078188703 0.871918968106458 5.05767642631264e-16 3.76866544079942e-16 NA 3.15528182565605e-40 1.63455695159432e-06 1.08945502637481e-39 9.12690690241994e-11 1.03757157241604e-10 1.31845679165827e-10 2.03421867308172e-10 1.53841196024046e-07 0.0217532271684742 0.507123352080612
ch2.txt 1.30452822173222e-40 2.08710201395509e-38 1.78058214803762e-39 8.5031716354326e-16 5.56971620326798e-16 3.15528182565605e-40 NA 2.0662317113881e-35 0.00119302077913287 1.39372156751232e-42 1.56612137119647e-42 1.15223307490268e-42 1.26837867184898e-42 9.85554918620414e-42 1.09912814924773e-36 1.69633860812174e-38
ch3+re.txt 0.000154268320227487 8.06439599575555e-05 8.17273877130372e-05 5.54878106541449e-16 4.04379363925508e-16 1.63455695159432e-06 2.0662317113881e-35 NA 1.07686211620383e-39 4.49621974923537e-18 4.58611235907358e-18 8.49005286177884e-18 1.22011009886725e-17 1.09087375865853e-15 0.0855576057683169 6.705477324997e-05
ch3.txt 2.04620515135261e-39 7.7448010162005e-38 2.13311926327788e-38 9.40741638494489e-16 6.0117555952356e-16 1.08945502637481e-39 0.00119302077913287 1.07686211620383e-39 NA 1.34467731586756e-42 1.39547774448568e-42 1.33216959896107e-42 1.33888396575713e-42 4.54532107717848e-42 5.28771180371406e-38 4.26235280659533e-38
